23 24 25 26 38 39 42 43 49 50 51 52 53 54 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 85 86 87 88 89 90 91 92 93 94 95 97 98 99 100 101 102 103 104 105 107 108 109 110 111 112 113 114 115 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 298 299 300 301 302 303 304 305 306 307 308 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 333 334 335 
0.8727965910672048 1.4212486373286097 1.0016272765853893 -0.6331068214121089 0.4269128126211794 1.8286553846171434 0.8144650962547186 49 20 
0.7401576323448844 1.330725263922581 0.9693889262763237 -0.6317707056766516 0.5070408533458208 1.9171245647848094 0.9627792634657052 24 2 
0.7796181739812673 1.3501889355727412 0.9967684828333642 -0.6321140597462495 0.47811046609751506 1.8998515908637055 0.9247853905564143 22 1 51 
0.681991177261877 1.313374504916054 0.9536188574044797 -0.6314207028452916 0.5208182633259631 1.9160668910493317 1.0444823682526605 24 23 
0.5730470498781005 1.3227355391423619 0.8783823609092315 -0.6334909314551196 0.5420508807479687 1.8612162341858167 1.2089113924503536 26 25 
0.6215758559350851 1.3090992727294382 0.9191276141393622 -0.632363178030957 0.534277783276762 1.8974912096664067 1.1308496191927853 25 23 
0.5362281726999744 1.3421551263791005 0.8489664157020335 -0.6349304169414155 0.5422891663857201 1.812209123972313 1.2745612976902692 27 26 
0.47283977879563494 1.3752724859662404 0.8205193604312938 -0.6367856862469969 0.5058568514769127 1.7130070424069683 1.3583633118892005 28 53 
0.40550527909826095 1.3910182747271558 0.8153896611327263 -0.6389677633701466 0.47470241248525513 1.6080935901894167 1.4117126981968424 29 54 
0.2178794629275913 1.3224091665314874 0.8636799636280097 -0.6409589709183937 0.39537957898572573 1.4114449710684984 1.4724287171834392 105 30 
0.06603014960138096 0.7934070233612296 0.9336257765865297 -0.6404263198731349 0.3596477237291333 0.7493607921334431 1.5005135742247901 107 33 
0.2931279808261066 0.6202974245211909 0.8337053055697288 -0.6390408963514989 0.43295338929241123 0.5191831549684949 1.4482553463976722 85 34 
0.41208761981469727 0.5924309322950039 0.8091144632289068 -0.6374480829517452 0.4931803586140613 0.37602499875509104 1.4023075471263755 64 35 
0.4722790135885804 0.6175323514728879 0.8177615709518045 -0.6355395168156471 0.5249689244438314 0.2677903904979762 1.3447887750570524 66 36 
0.5359069289594907 0.6590573324510787 0.85421081079026 -0.6328190749918572 0.5512705005326227 0.171787257191781 1.2562393525371798 39 37 
0.5918609316605717 0.6796362731542581 0.8915780851881757 -0.6307776586264422 0.5445363665367753 0.12206957812300348 1.1805344876099422 38 39 
0.6472856368922524 0.6858006606939162 0.9289626601201814 -0.6294232451513994 0.5345212943994022 0.0901464406483374 1.0946804230295673 40 38 
0.7549472861503703 0.658507444714816 0.9921991808170009 -0.6290496546586879 0.48550612984710984 0.09272860475376542 0.9514159377961928 41 42 
0.843531490405768 0.6006701648448971 1.0006901099591679 -0.6297009938525416 0.4432714038561601 0.1470191198069501 0.8286961658469689 19 43 
0.8700650463161252 0.5723939898895837 1.009838433234007 -0.6311102322139726 0.4229954166953766 0.17918224375266428 0.8025754659158371 44 70 18 
0.8949559343674064 1.4554505972122171 1.0164107772057909 -0.6342847784171202 0.40330144495872844 1.782581717140548 0.7878347391650853 50 21 0 
0.9221240344101453 1.5022238249130646 1.0175035760982518 -0.6363892399240307 0.3842229798959128 1.7284342008949498 0.7658696351697674 71 47 20 
0.8207114424392463 1.3809320092907564 1.0191355975080045 -0.6323711978660349 0.4432643477322254 1.868540075382377 0.8841131612624624 2 72 49 
0.6534933922823949 1.3046469246223362 0.9505408969695203 -0.6332890871733519 0.5041692459465614 1.9028395427227118 1.0902493843433878 76 52 3 5 
0.7218503265624326 1.3228781115196986 0.9785802354495398 -0.6322226119027814 0.4905868140513078 1.909672136264148 1.0036312783670691 52 51 1 3 
0.5924182678232551 1.3077180062746976 0.9060740522769448 -0.6347169067365408 0.5142767425052127 1.8764942254521384 1.1742096778407283 75 76 5 4 
0.5365263571913715 1.3275712793789074 0.8641300464244046 -0.6360415378719146 0.5182830344894471 1.8336275021762611 1.2473391007605508 6 77 75 4 
0.5149912730022759 1.349363619307612 0.8412740105360386 -0.6352050648215085 0.5153345868553827 1.778868142504595 1.3078938102581037 53 77 6 
0.4444464139095892 1.3796174681688471 0.819469104959852 -0.6369377208853854 0.47787090130142407 1.6732117290186044 1.3827076548646842 54 78 7 
0.3832303782773783 1.377017060503592 0.8227889780821878 -0.638988903278823 0.4501253269791915 1.5700110173596555 1.427408164832692 55 79 8 
0.1790476332547746 1.2751995857420515 0.8833679000135785 -0.6405742203028121 0.37524044764825915 1.3701074633275305 1.4849441638789285 56 126 9 
0.034866151828792845 1.1321950182894538 0.9602623940674943 -0.6405109515775409 0.3427342023907536 1.1667422112050387 1.5202779782342781 127 32 
0.02546765149969512 1.0913184017027724 0.9685862220167566 -0.6400550282947317 0.33638558253899165 1.1238843890164483 1.5263702948305762 57 128 31 
0.043898345774047456 0.8434028816326999 0.9504496428371512 -0.6400801696697176 0.34868386442409605 0.7868692237121793 1.509776042640239 129 59 10 
0.25539635921578835 0.6566225636315738 0.8488716807299714 -0.6390246996460344 0.4112013284583353 0.556950172741644 1.4597268112291955 11 108 62 
0.3887382856640635 0.603099792188639 0.8158905543734818 -0.6374087686125478 0.4642625390759042 0.409581734381579 1.4175700460036678 86 63 12 
0.45642514316536764 0.6143890683136197 0.8162170309653091 -0.6362152246391809 0.4962573018632991 0.30207790957022745 1.3679165506298885 13 87 64 
0.5218304205200391 0.6523496592834582 0.845728670249184 -0.6336965207435064 0.5302237772411205 0.20210857929246617 1.2900045184631082 14 65 66 
0.6114113264931602 0.6911265191579494 0.9189393607617526 -0.6318459756924658 0.5184816708135855 0.10692951846241942 1.1378584711540163 16 68 67 15 
0.5547320777790968 0.6759917819638535 0.8756767417019502 -0.6334696453500013 0.5252605701452145 0.14654708292770507 1.2202759201065754 67 65 14 15 
0.6720915692940458 0.6894550325638876 0.9633310765324199 -0.630876218836682 0.505779180545558 0.08800714607803883 1.0474331733939262 42 68 16 
0.782716995196595 0.643043540998508 1.01198220966221 -0.6306005381477341 0.45703593038718754 0.11468677334494465 0.9067823040174007 17 43 69 
0.7307579692680636 0.6709169268491987 0.9917634160906809 -0.630328978354762 0.4726006476173019 0.09725252534838359 0.9972996456046719 69 91 40 17 
0.826684459266444 0.6104259864452997 1.0181376388152357 -0.6307019135989872 0.4297979497304045 0.14518234447676298 0.8678737553144475 70 92 41 18 
0.8972365913842 0.5330192480408661 1.0179584723989392 -0.6319153704679463 0.4043547846294823 0.2157068626472916 0.7835801575502022 45 93 19 
0.9204577264941881 0.4808662839793839 1.0304445860732607 -0.6332825432161778 0.38988342936836273 0.25265318889889365 0.771851178884162 46 94 44 
0.9234999056862273 0.4720552519542004 1.0305844471106886 -0.633105710494332 0.3795539655919319 0.2858497243587346 0.7662063660059368 116 45 
0.9466893576116405 1.5561729798741328 1.0075390621829605 -0.6392844723015781 0.3742904321335514 1.680576689453853 0.7529194663359702 95 48 21 
0.9510705184771958 1.5687125163398166 1.0034819610270995 -0.6396744933902747 0.36952676993777955 1.644103267069094 0.7487942827123417 96 47 
0.85503704204855 1.414413279883184 1.0288003495539553 -0.6330638353787995 0.4121585204357344 1.8278137301113961 0.8488325131958203 0 22 73 50 
0.8851868183706806 1.4557952534892022 1.0391014201174724 -0.6345300216173004 0.3871898742704256 1.7806711671897042 0.8204780699109779 97 71 20 49 
0.7712343429534163 1.3469880741951064 1.0093185170513137 -0.6319858387822931 0.4569987975892102 1.8920045640592122 0.9626007225194871 74 72 2 24 
0.7127807560185809 1.3185046081941012 0.987811541279605 -0.6322484212964826 0.46922188494093936 1.8975267718179514 1.0477483278849227 99 74 24 23 
0.4727938750370197 1.359534160638252 0.8299837939208657 -0.6374557459119873 0.48369313320701635 1.739844860522965 1.3401548876215574 102 27 7 78 
0.3974599885707781 1.3823289112035557 0.8193865208625806 -0.6387465445359399 0.44852104818936744 1.6318513491469244 1.4042231664245957 8 79 103 28 
0.34879740672173715 1.3532570283643193 0.8343408108245217 -0.6386437926360334 0.42161139951213544 1.5268643768212988 1.4437215231504303 80 104 29 
0.14563745112463575 1.2282037296837256 0.9025143211966566 -0.6402551760970031 0.35488000642086015 1.3261985555369282 1.4988455587965221 81 145 30 
0.020613187040391195 1.0571178520410707 0.9731929802207834 -0.6397946835943707 0.3298760741167544 1.0750983618850876 1.5321674364450455 58 146 32 
0.018270193744224172 1.0202885047421906 0.9755191459127062 -0.6395094459819894 0.32553160028872036 1.0245488512771983 1.535588413413674 82 147 57 
0.03208437841768709 0.8818077403594612 0.9608170008835881 -0.6399492831305343 0.338806819981124 0.8305846563582622 1.5193774075220186 33 148 60 
0.024702358869536825 0.9186420437776859 0.9681518505566012 -0.6397517929174202 0.3314331860484082 0.877958100030719 1.5273167326465293 149 61 59 
0.020170813041542845 0.9553482707132531 0.9730680954773671 -0.639608265007586 0.3267107923278819 0.9269979818012939 1.5329376807775408 60 150 82 
0.2172698237008882 0.6972784232413493 0.8659314740194032 -0.6389128589840287 0.3866822714109548 0.5959252607280022 1.4727362408473512 34 130 83 
0.3522428865062754 0.6149439799199887 0.8234996023195621 -0.6378697075606771 0.43218287705407565 0.4465371038881733 1.4325799697962887 109 85 35 
0.42638521643059357 0.6152274191593089 0.8168359490757429 -0.6375973703528257 0.46483968816524884 0.3395866871322134 1.3893438749280431 110 86 12 36 
0.5563887419433895 0.6724591781549842 0.8707736317686425 -0.6334842106068301 0.4994367805393712 0.17502573591850934 1.2569242773055713 39 90 88 37 
0.49416848595573676 0.6469425672928879 0.8380131556815783 -0.6356921370272495 0.49987159952912474 0.2351321132720821 1.3208096533843063 87 13 37 88 
0.6114385074213586 0.6899612801415166 0.91600093970808 -0.631934461495504 0.4947743122471413 0.1288488801314091 1.17932840604722 89 90 39 38 
0.6723347211069951 0.6888079859601094 0.9602685174531105 -0.630783148184182 0.4867948975416002 0.10173043607690169 1.0916032506281166 91 89 38 40 
0.7784073646602802 0.6449406314341524 1.0186788838611276 -0.6306926294587273 0.44066233292247475 0.11804444353579803 0.9511433815856285 41 92 112 42 
0.8619254829898018 0.5731757527667662 1.0289746812977059 -0.6317632837412643 0.40618746932023964 0.1813004231729357 0.8372292441613911 114 43 19 93 
0.9119059444370634 1.503956985358067 1.042891421812524 -0.637007085296987 0.36972375514913636 1.7304720689942799 0.7992042417273766 117 95 21 50 
0.8127091393457793 1.3782543652486676 1.0334093455054334 -0.6323819157090361 0.4231474657491644 1.8624007760791215 0.9227105192908758 51 98 73 22 
0.844119981887835 1.4118818297761169 1.051628950667631 -0.6332810078306471 0.392765838856853 1.8226998679192192 0.8871476660305149 72 118 97 49 
0.7621404700160186 1.3424328399447725 1.0224026573758027 -0.6319796933424262 0.4328064366341444 1.880030000179635 1.0051940291918136 52 119 98 51 
0.5906795930717149 1.309852972496727 0.901556762968935 -0.6344725989792653 0.4868816966636771 1.8497169857083233 1.2158972371540682 101 100 25 26 
0.6521108854082507 1.3052528213507208 0.9471308200961343 -0.6331426759619548 0.4801091886408718 1.8833843328655813 1.1354468328097473 25 100 99 23 
0.5360631213995362 1.3318993797052538 0.8589466199745892 -0.6357357540805043 0.4880702207828377 1.8005999277638023 1.284100485093806 26 27 102 101 
0.4657813825618435 1.3583413955033388 0.8306098040273798 -0.6373441981816909 0.4508262133286539 1.698428215745749 1.3681764429888048 53 28 103 123 
0.37725551263537027 1.368282784213431 0.8263452933107067 -0.6387810385591698 0.4190272324197569 1.5902462565472102 1.4229123285099896 104 124 54 29 
0.296663314451384 1.333385755345753 0.847257614364745 -0.6382574277636855 0.39402809977107 1.4813941806018684 1.4595306126394059 105 125 55 
0.11982627789304705 1.189286389753453 0.9183834050955785 -0.639841608026354 0.33750125571477696 1.2790989434048843 1.5124617700302194 106 169 56 
0.01845284818547874 0.9865635243966927 0.9752138240024001 -0.6394917444633624 0.324595452806501 0.9756470233316645 1.5358253153692574 170 58 61 
0.1735963998515428 0.738142657584848 0.8857551477789487 -0.638924082850745 0.3645183726703834 0.6391182992563907 1.4865079429591297 62 151 84 
0.12236979053861496 0.7670885172344731 0.9077217314564319 -0.6391113825677857 0.34613415653007873 0.6843800007188231 1.499771276286364 83 171 107 
0.29879571905250435 0.6343262354734582 0.8350197813787903 -0.6391948176716864 0.40367442424259 0.48760548722199876 1.447288835241062 63 131 108 11 
0.4098794276257559 0.626185624853106 0.8226511696073376 -0.6374048909641375 0.43226075208549797 0.3772142856700727 1.4078760985424337 64 132 109 35 
0.49393855751934357 0.6435111056012964 0.8351625520442398 -0.6355610761922358 0.46626560924587 0.26988770144390356 1.3471617639174727 66 133 110 36 
0.5473108089857083 0.675121141823702 0.8722434275788089 -0.6336041290066079 0.46698571527629745 0.20740562618349218 1.290127694185248 134 133 66 65 
0.668856972697452 0.6903961608177581 0.9615923179216579 -0.6309462142789025 0.4599957898358907 0.12215857738261168 1.1344893715265574 111 135 67 68 
0.6097344051045839 0.6890661435113568 0.913312760806912 -0.6320429072474134 0.4643715550545143 0.15632582011249777 1.2180550099785534 134 65 67 135 
0.7263465635026275 0.6733900639399518 0.9974760597495396 -0.630557570095505 0.45210469921615837 0.10894192611430897 1.0434757076468872 112 111 68 42 
0.8180729972406784 0.6129569914074509 1.0374039021334451 -0.6313058046173146 0.4112400643763477 0.1487909445355734 0.9104902506125201 113 69 43 114 
