3 16 20 21 22 23 25 27 28 29 30 31 32 36 37 38 39 40 41 42 43 44 45 46 47 48 51 52 53 54 55 56 57 58 59 60 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 88 89 90 91 92 95 96 97 98 99 100 101 102 103 104 106 107 108 109 110 111 112 113 114 115 116 117 118 120 121 122 123 124 125 126 127 128 129 130 131 134 135 136 137 138 139 140 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 169 170 171 172 173 174 175 176 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 286 287 288 289 290 291 292 293 296 297 298 299 300 301 302 303 304 305 306 308 310 311 312 313 314 315 316 317 318 319 321 323 324 325 330 331 333 334 336 338 339 340 348 
0.40671062672998703 0.8255088988153257 5.949677980454182 4.956221955507061 1.531035158799904 0.5410932553089158 1.1311481984573468 1 18 
0.39463428920863824 0.8392549559166506 5.9464549800401585 4.956601983581957 1.5068236314261556 0.5472709051794726 1.125181315738422 3 0 
-0.09051756361284552 0.443462223409326 5.768147816327303 4.913253388098952 1.489632455880162 0.6195998559124053 1.119401351470084 3 21 
0.16629592603378 0.35039613727765834 5.849924148038714 4.918410652892446 1.5264042568899376 0.604909341228 1.1303230141933918 1 2 20 18 
-1.2098953638562693 0.3501398912593511 5.169079547737441 4.859985198326586 1.398243060037914 0.7108894761214449 1.0842568965684949 22 5 
-0.5998770067203582 0.14661544315265534 5.500202184896527 4.876115932051188 1.4448141848988008 0.6929908799380221 1.1075330710083016 23 21 4 
-1.9177996865062257 -0.016384330092670846 4.494947783039781 4.8094234480230655 1.3540640148529592 0.7707828880507792 1.0591645051314968 25 22 
-3.044039793890509 -0.8941875483336882 1.290982569113938 4.657184181674622 1.2637253193391444 0.8365467586435726 0.9219470144383631 9 42 8 
-2.8510325493100965 -0.8673239104564139 2.436975633509661 4.697596788301747 1.2771758173092347 0.8312581439756608 0.9743974229283456 24 7 40 
-2.906889091406814 -0.9939897029484542 0.12278866521384914 4.617578041906975 1.2671301548134788 0.8346537374756922 0.8675625252178812 26 43 7 
-2.186388930855476 -0.5549573347932695 -1.8686335711286612 4.597189658078537 1.3336764636463716 0.7840286964516949 0.7675274936131791 11 27 
-1.647799742304102 -0.6247870091031474 -2.4317039492718417 4.58998289811153 1.3752867752163227 0.7696161020658044 0.727886375953261 28 45 10 
-1.1400322876003104 -0.24221706814719582 -3.0353010253391797 4.636061020154475 1.4360722386686557 0.7067457814226004 0.7003117575007174 29 28 
-0.5796264754206365 0.08834450486373854 -3.4988286703350764 4.697685586881041 1.4810058635074492 0.6378376449552227 0.6867460698045144 14 29 
-0.2084996929675517 -0.03326060600710488 -3.664627075669662 4.714202773550986 1.5184800346755187 0.6208988767868554 0.6726481300201583 16 31 13 
0.15813302819140446 0.17660896731841705 -3.8769723991726064 4.77013732388679 1.5440713680925204 0.5496808174359434 0.6719984207395147 17 16 
0.040644774322811356 -0.13855936280276035 -3.7582038572150336 4.730873293397835 1.5587971148900264 0.6059408427813742 0.660013287800954 15 33 32 14 
0.22172628839686576 0.1432232412168947 -3.8968084786481416 4.773518223011876 1.5743400279218822 0.5445639251448983 0.6633473080714885 33 15 
0.24277983323229 0.2927393518552157 5.8683159644712015 4.9185110342758795 1.5593331342828947 0.5949228684511901 1.1390835174108969 0 3 19 
0.08466423744367899 -0.1817631674837865 5.7353255763896565 4.892930179335418 1.5875476051449184 0.6668667590435139 1.1571680757702063 18 20 35 
0.02118379529011162 -0.11721828180740647 5.725666336508263 4.892727118796689 1.545612366553787 0.6719686933406288 1.1441813603642415 21 36 19 3 
-0.22979280789232165 0.008275118200868074 5.650544115279839 4.887586643434721 1.49710909416897 0.6798919224121815 1.1280043108974436 37 20 2 5 
-1.3128558059170663 -0.20344069948161897 4.97432217405386 4.831699849986806 1.3994511785019785 0.7578835330471829 1.093211490433592 6 38 23 4 
-0.7044060096777656 -0.4161042274440759 5.311565461006155 4.85368554596166 1.450772796319729 0.7504195781640649 1.1222040685615235 22 39 37 5 
-2.390202918859846 -0.928005209232568 3.414692473079876 4.7371547184841765 1.3065025181366399 0.8212552566895274 1.0243549136480556 41 25 8 
-1.8337978536271644 -1.0169677790532952 4.126216434191215 4.7756381462236215 1.3474407331094398 0.8129794432542307 1.070714109584342 6 24 53 38 
-2.523922471228087 -1.0766018139632643 -0.8817974220510865 4.585441289689175 1.287780108290817 0.8272122909178569 0.8127290173570411 44 9 27 
-2.0645446078036316 -1.131921756947157 -1.6065051773355865 4.569066112327184 1.321234756355591 0.8193734117257403 0.760747506459716 45 55 26 10 
-1.1609893997348635 -0.6821701267587238 -2.8287854229644687 4.599117168473792 1.4255747363488156 0.7577694698464517 0.6906357662101543 46 11 12 30 
-0.684476562112659 -0.28396458787793777 -3.32711158030099 4.655246083375932 1.481497016466339 0.6909162082272579 0.676380191369014 31 30 12 13 
-0.724043584003372 -0.7566423086281171 -3.1065794572426633 4.615378186471951 1.4783356857065408 0.7495514007696935 0.6591395763273731 47 58 28 29 
